date,Total_fee
1," 413,358,000 "
2," 406,551,000 "
3," 401,016,000 "
4," 228,723,000 "
5," 433,968,000 "
6," 340,346,000 "
7," 320,610,000 "
8," 338,646,000 "
9," 284,000,000 "
10," 259,800,000 "
11," 318,306,000 "
12," 374,469,000 "
13," 425,094,000 "
14," 426,669,000 "
15," 335,640,000 "
16," 381,273,000 "
17," 432,828,000 "
18," 388,365,000 "
19," 322,686,000 "
20," 383,400,000 "
21," 420,942,000 "
22," 378,636,000 "
23," 457,831,000 "
24," 423,784,000 "
25," 357,022,000 "
26," 459,239,000 "
